edge_id,from_node,to_node,edge_type,layer,source,confidence,quantity,value,notes,metadata
1,tech:1,tech:1001,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
2,item:1202,tech:1001,research_input,formal_game_data,runtime:LDB.techs,exact,,30,TechProto.Items paired with ItemPoints.,{}
3,tech:1001,recipe:7,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
4,tech:1001,recipe:8,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
5,tech:1001,recipe:48,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
6,tech:1001,item:2203,grants_item,formal_game_data,runtime:LDB.techs,exact,1,,,{}
7,tech:1001,item:2201,grants_item,formal_game_data,runtime:LDB.techs,exact,1,,,{}
8,tech:1001,item:2301,grants_item,formal_game_data,runtime:LDB.techs,exact,1,,,{}
9,tech:1001,tech:1002,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
10,item:1202,tech:1002,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
11,item:1301,tech:1002,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
12,tech:1002,recipe:9,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
13,tech:1002,recipe:10,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
14,tech:1002,item:2901,grants_item,formal_game_data,runtime:LDB.techs,exact,1,,,{}
15,tech:1001,tech:1101,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
16,item:6001,tech:1101,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
17,tech:1101,recipe:11,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
18,tech:1101,recipe:12,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
19,tech:1101,recipe:13,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
20,tech:1101,item:1401,grants_item,formal_game_data,runtime:LDB.techs,exact,10,,,{}
21,tech:1120,tech:1102,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
22,tech:1101,tech:1102,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
23,item:6001,tech:1102,research_input,formal_game_data,runtime:LDB.techs,exact,,10,TechProto.Items paired with ItemPoints.,{}
24,tech:1102,recipe:14,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
25,tech:1102,recipe:15,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
26,tech:1102,recipe:16,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
27,tech:1121,tech:1103,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
28,tech:1102,tech:1103,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
29,item:6001,tech:1103,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
30,item:6002,tech:1103,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
31,tech:1103,recipe:58,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
32,tech:1103,tech:1104,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
33,item:6001,tech:1104,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
34,item:6002,tech:1104,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
35,tech:1104,recipe:121,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
36,tech:1101,tech:1105,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
37,item:6001,tech:1105,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
38,tech:1105,recipe:161,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
39,tech:1105,item:2401,grants_item,formal_game_data,runtime:LDB.techs,exact,1,,,{}
40,tech:1102,tech:1111,pretech_explicit,formal_game_data,runtime:LDB.techs,exact,,,Direct TechProto.PreTechs prerequisite.,"{""target_pretechs_max"":false}"
41,item:6001,tech:1111,research_input,formal_game_data,runtime:LDB.techs,exact,,20,TechProto.Items paired with ItemPoints.,{}
42,tech:1111,recipe:18,unlocks_recipe,formal_game_data,runtime:LDB.techs,exact,,,,{}
