item_node,item_id,item_name,item_type,acquisition_class,direct_recipe_count,alternative_recipe_count,direct_recipe_ids,direct_recipe_names,nonrecipe_source_count,nonrecipe_source_types,closure_node_count,closure_edge_count,closure_item_count,closure_recipe_count,closure_tech_count,closure_theme_count,closure_vein_count,raw_resource_item_count,unresolved_source_item_count,required_tech_count,research_input_edge_count,preitem_gate_count,material_cyclic_component_count,integrated_cyclic_component_count,material_component_id,integrated_component_id
item:1000,1000,水,Resource,planetary_or_gas_resource,0,0,,,8,theme_water_resource,9,8,1,0,0,8,0,1,0,0,0,0,0,0,scc:0001,scc:0078
item:1001,1001,铁矿,Resource,mined,0,0,,,1,vein_mines_item,21,20,1,0,0,19,1,1,0,0,0,0,0,0,scc:0002,scc:0079
item:1002,1002,铜矿,Resource,mined,0,0,,,1,vein_mines_item,21,20,1,0,0,19,1,1,0,0,0,0,0,0,scc:0003,scc:0080
item:1003,1003,Silicon Ore,Resource,manufactured_or_acquired,1,0,34,硅石,1,vein_mines_item,23,37,2,1,0,18,2,2,0,4,4,0,0,0,scc:0004,scc:0081
item:1004,1004,Titanium Ore,Resource,mined,0,0,,,1,vein_mines_item,16,15,1,0,0,14,1,1,0,0,0,0,0,0,scc:0005,scc:0082
item:1005,1005,Stone,Resource,mined,0,0,,,1,vein_mines_item,20,19,1,0,0,18,1,1,0,0,0,0,0,0,scc:0006,scc:0083
item:1006,1006,煤矿,Resource,mined,0,0,,,1,vein_mines_item,21,20,1,0,0,19,1,1,0,0,0,0,0,0,scc:0007,scc:0084
item:1007,1007,原油,Resource,mined,0,0,,,1,vein_mines_item,10,9,1,0,0,8,1,1,0,0,0,0,0,0,scc:0008,scc:0085
item:1011,1011,可燃冰,Resource,mined,0,0,,,3,theme_gas_resource|vein_mines_item,9,8,1,0,0,7,1,1,0,0,0,0,0,0,scc:0009,scc:0086
item:1012,1012,金伯利矿石,Resource,mined,0,0,,,1,vein_mines_item,11,10,1,0,0,9,1,1,0,0,0,0,0,0,scc:0010,scc:0087
item:1013,1013,分形硅石,Resource,mined,0,0,,,1,vein_mines_item,8,7,1,0,0,6,1,1,0,0,0,0,0,0,scc:0011,scc:0088
item:1014,1014,光栅石,Resource,mined,0,0,,,1,vein_mines_item,11,10,1,0,0,9,1,1,0,0,0,0,0,0,scc:0012,scc:0089
item:1015,1015,刺笋结晶,Resource,mined,0,0,,,1,vein_mines_item,10,9,1,0,0,8,1,1,0,0,0,0,0,0,scc:0013,scc:0090
item:1016,1016,单极磁石,Resource,mined,0,0,,,1,vein_mines_item,2,1,1,0,0,0,1,1,0,0,0,0,0,0,scc:0014,scc:0091
item:1030,1030,木材,Resource,unresolved_source,0,0,,,0,,1,0,1,0,0,0,0,1,1,0,0,0,0,0,scc:0015,scc:0092
item:1031,1031,植物燃料,Resource,unresolved_source,0,0,,,0,,1,0,1,0,0,0,0,1,1,0,0,0,0,0,scc:0016,scc:0093
item:1099,1099,沙土,Resource,unresolved_source,0,0,,,0,,1,0,1,0,0,0,0,1,1,0,0,0,0,0,scc:0017,scc:0094
item:1101,1101,铁块,Material,manufactured,1,0,1,铁块,0,,23,22,2,1,0,19,1,1,0,0,0,0,0,0,scc:0018,scc:0095
item:1102,1102,磁铁,Material,manufactured,1,0,2,磁铁,0,,23,22,2,1,0,19,1,1,0,0,0,0,0,0,scc:0019,scc:0096
item:1103,1103,钢材,Material,manufactured,1,0,63,钢材,0,,25,24,3,2,0,19,1,1,0,4,4,0,0,0,scc:0020,scc:0097
item:1104,1104,铜块,Material,manufactured,1,0,3,铜块,0,,23,22,2,1,0,19,1,1,0,0,0,0,0,0,scc:0021,scc:0098
item:1105,1105,High-Purity Silicon,Material,manufactured,1,0,59,高纯硅块,0,,25,39,3,2,0,18,2,2,0,4,4,0,0,0,scc:0022,scc:0099
item:1106,1106,Titanium Ingot,Material,manufactured,1,0,65,钛块,0,,18,17,2,1,0,14,1,1,0,5,6,0,0,1,scc:0023,scc:0100
item:1107,1107,钛合金,Material,manufactured,1,0,66,钛合金,0,,56,133,15,10,0,25,6,7,1,32,61,0,1,1,scc:0024,scc:0101
item:1108,1108,石材,Material,manufactured,1,0,4,石材,0,,22,21,2,1,0,18,1,1,0,0,0,0,0,0,scc:0025,scc:0102
item:1109,1109,高能石墨,Material,manufactured,2,1,17|58,高能石墨|X射线裂解,0,,41,59,7,6,0,25,3,3,1,29,55,0,1,1,scc:0026,scc:0100
item:1110,1110,玻璃,Material,manufactured,1,0,57,玻璃,0,,22,21,2,1,0,18,1,1,0,3,3,0,0,0,scc:0027,scc:0103
item:1111,1111,棱镜,Material,manufactured,1,0,11,棱镜,0,,24,23,3,2,0,18,1,1,0,4,4,0,0,0,scc:0028,scc:0104
item:1112,1112,金刚石,Material,manufactured,2,1,60|61,金刚石|金刚石（高效）,0,,46,73,9,8,0,25,4,4,1,30,57,0,1,1,scc:0029,scc:0100
item:1113,1113,晶格硅,Material,manufactured,2,1,37|62,晶格硅|晶格硅（高效）,0,,30,50,5,4,0,18,3,3,0,12,16,0,0,1,scc:0030,scc:0100
item:1114,1114,精炼油,Material,manufactured,2,1,16|121,等离子精炼|重整精炼,0,,39,56,6,5,0,25,3,3,1,29,55,0,1,1,scc:0031,scc:0100
item:1115,1115,塑料,Material,manufactured,1,0,23,塑料,0,,43,62,8,7,0,25,3,3,1,29,55,0,1,1,scc:0032,scc:0100
item:1116,1116,硫酸,Material,manufactured_or_acquired,1,0,24,硫酸,1,theme_water_resource,44,88,9,6,0,25,4,5,1,29,55,0,1,1,scc:0033,scc:0100
item:1117,1117,Organic Crystal,Material,manufactured_or_acquired,2,1,25|54,有机晶体|有机晶体（原始）,1,vein_mines_item,50,87,12,9,0,25,4,6,3,29,55,0,1,1,scc:0034,scc:0100
item:1118,1118,Titanium Crystal,Material,manufactured,1,0,26,钛晶石,0,,56,107,15,11,0,25,5,7,3,31,58,0,1,1,scc:0035,scc:0100
item:1119,1119,钛化玻璃,Material,manufactured,1,0,30,钛化玻璃,0,,31,50,6,3,0,20,2,3,0,12,15,0,0,1,scc:0036,scc:0100
item:1120,1120,氢,Material,manufactured_or_acquired,4,3,16|32|58|74,等离子精炼|石墨烯（高效）|X射线裂解|光子物质化,5,theme_gas_resource,39,56,6,5,0,25,3,3,1,29,55,0,1,1,scc:0031,scc:0100
item:1121,1121,重氢,Material,manufactured_or_acquired,2,1,40|115,重氢|重氢分馏,3,theme_gas_resource,42,63,7,7,0,25,3,3,1,31,58,0,1,1,scc:0037,scc:0100
item:1122,1122,反物质,Material,manufactured,1,0,74,光子物质化,0,,3,2,2,1,0,0,0,0,1,26,50,0,0,1,scc:0038,scc:0105
item:1123,1123,石墨烯,Material,manufactured,2,1,31|32,石墨烯|石墨烯（高效）,0,,48,95,11,8,0,25,4,5,1,29,55,0,1,1,scc:0039,scc:0100
item:1124,1124,碳纳米管,Material,manufactured,2,1,33|35,碳纳米管|碳纳米管（高效）,0,,57,126,15,11,0,25,6,7,1,32,60,0,1,1,scc:0040,scc:0100
item:1125,1125,框架材料,Material,manufactured,1,0,80,框架材料,0,,72,178,22,17,0,25,8,9,1,34,65,0,1,1,scc:0041,scc:0106
item:1126,1126,卡西米尔晶体,Material,manufactured,2,1,28|29,卡西米尔晶体|卡西米尔晶体（高效）,0,,67,153,20,15,0,25,7,9,3,32,61,0,1,1,scc:0042,scc:0100
item:1127,1127,奇异物质,Material,manufactured,1,0,104,奇异物质,0,,76,172,24,20,0,25,7,8,1,31,58,0,1,1,scc:0043,scc:0100
item:1128,1128,燃烧单元,Component,manufactured,1,0,133,燃烧单元,0,,23,22,2,1,0,19,1,1,0,4,4,0,0,0,scc:0044,scc:0107
item:1129,1129,爆破单元,Component,manufactured,1,0,134,爆破单元,0,,52,100,13,10,0,25,4,5,1,31,58,0,1,1,scc:0045,scc:0108
