recipe_node,recipe_id,recipe_name,recipe_type,recipe_type_id,time_spend_raw,handcraft,productive,non_productive,input_count,inputs_json,output_count,outputs_json,unlocking_technologies_json,product_scc
recipe:1,1,铁块,Smelt,1,60,true,false,false,1,"[{""item_node"":""item:1001"",""item_id"":1001,""item_name"":""铁矿"",""quantity"":1,""source_edge_id"":1750}]",1,"[{""item_node"":""item:1101"",""item_id"":1101,""item_name"":""铁块"",""quantity"":1,""source_edge_id"":1751}]",[],scc:0227
recipe:2,2,磁铁,Smelt,1,90,true,false,false,1,"[{""item_node"":""item:1001"",""item_id"":1001,""item_name"":""铁矿"",""quantity"":1,""source_edge_id"":1752}]",1,"[{""item_node"":""item:1102"",""item_id"":1102,""item_name"":""磁铁"",""quantity"":1,""source_edge_id"":1753}]",[],scc:0293
recipe:3,3,铜块,Smelt,1,60,true,false,false,1,"[{""item_node"":""item:1002"",""item_id"":1002,""item_name"":""铜矿"",""quantity"":1,""source_edge_id"":1754}]",1,"[{""item_node"":""item:1104"",""item_id"":1104,""item_name"":""铜块"",""quantity"":1,""source_edge_id"":1755}]",[],scc:0297
recipe:4,4,石材,Smelt,1,60,true,false,false,1,"[{""item_node"":""item:1005"",""item_id"":1005,""item_name"":""Stone"",""quantity"":1,""source_edge_id"":1756}]",1,"[{""item_node"":""item:1108"",""item_id"":1108,""item_name"":""石材"",""quantity"":1,""source_edge_id"":1757}]",[],scc:0301
recipe:5,5,齿轮,Assemble,4,60,true,false,false,1,"[{""item_node"":""item:1101"",""item_id"":1101,""item_name"":""铁块"",""quantity"":1,""source_edge_id"":1758}]",1,"[{""item_node"":""item:1201"",""item_id"":1201,""item_name"":""齿轮"",""quantity"":1,""source_edge_id"":1759}]",[],scc:0311
recipe:6,6,磁线圈,Assemble,4,60,true,false,false,2,"[{""item_node"":""item:1102"",""item_id"":1102,""item_name"":""磁铁"",""quantity"":2,""source_edge_id"":1760},{""item_node"":""item:1104"",""item_id"":1104,""item_name"":""铜块"",""quantity"":1,""source_edge_id"":1761}]",1,"[{""item_node"":""item:1202"",""item_id"":1202,""item_name"":""磁线圈"",""quantity"":2,""source_edge_id"":1762}]",[],scc:0318
recipe:7,7,风力涡轮机,Assemble,4,240,true,false,false,3,"[{""item_node"":""item:1101"",""item_id"":1101,""item_name"":""铁块"",""quantity"":6,""source_edge_id"":1763},{""item_node"":""item:1201"",""item_id"":1201,""item_name"":""齿轮"",""quantity"":1,""source_edge_id"":1764},{""item_node"":""item:1202"",""item_id"":1202,""item_name"":""磁线圈"",""quantity"":3,""source_edge_id"":1765}]",1,"[{""item_node"":""item:2203"",""item_id"":2203,""item_name"":""风力涡轮机"",""quantity"":1,""source_edge_id"":1766}]","[{""tech_node"":""tech:1001"",""tech_id"":1001,""tech_name"":""Electromagnetism"",""source_edge_id"":3}]",scc:0325
recipe:8,8,电力感应塔,Assemble,4,60,true,false,false,2,"[{""item_node"":""item:1101"",""item_id"":1101,""item_name"":""铁块"",""quantity"":2,""source_edge_id"":1767},{""item_node"":""item:1202"",""item_id"":1202,""item_name"":""磁线圈"",""quantity"":1,""source_edge_id"":1768}]",1,"[{""item_node"":""item:2201"",""item_id"":2201,""item_name"":""电力感应塔"",""quantity"":1,""source_edge_id"":1769}]","[{""tech_node"":""tech:1001"",""tech_id"":1001,""tech_name"":""Electromagnetism"",""source_edge_id"":4}]",scc:0335
recipe:9,9,电磁矩阵,Research,15,180,true,false,false,2,"[{""item_node"":""item:1202"",""item_id"":1202,""item_name"":""磁线圈"",""quantity"":1,""source_edge_id"":1770},{""item_node"":""item:1301"",""item_id"":1301,""item_name"":""电路板"",""quantity"":1,""source_edge_id"":1771}]",1,"[{""item_node"":""item:6001"",""item_id"":6001,""item_name"":""Electromagnetic Matrix"",""quantity"":1,""source_edge_id"":1772}]","[{""tech_node"":""tech:1002"",""tech_id"":1002,""tech_name"":""Electromagnetic Matrix"",""source_edge_id"":12}]",scc:0346
recipe:10,10,矩阵研究站,Assemble,4,180,true,false,false,4,"[{""item_node"":""item:1101"",""item_id"":1101,""item_name"":""铁块"",""quantity"":8,""source_edge_id"":1773},{""item_node"":""item:1110"",""item_id"":1110,""item_name"":""玻璃"",""quantity"":4,""source_edge_id"":1774},{""item_node"":""item:1301"",""item_id"":1301,""item_name"":""电路板"",""quantity"":4,""source_edge_id"":1775},{""item_node"":""item:1202"",""item_id"":1202,""item_name"":""磁线圈"",""quantity"":4,""source_edge_id"":1776}]",1,"[{""item_node"":""item:2901"",""item_id"":2901,""item_name"":""矩阵研究站"",""quantity"":1,""source_edge_id"":1777}]","[{""tech_node"":""tech:1002"",""tech_id"":1002,""tech_name"":""Electromagnetic Matrix"",""source_edge_id"":13}]",scc:0228
recipe:11,11,棱镜,Assemble,4,120,true,false,false,1,"[{""item_node"":""item:1110"",""item_id"":1110,""item_name"":""玻璃"",""quantity"":3,""source_edge_id"":1778}]",1,"[{""item_node"":""item:1111"",""item_id"":1111,""item_name"":""棱镜"",""quantity"":2,""source_edge_id"":1779}]","[{""tech_node"":""tech:1101"",""tech_id"":1101,""tech_name"":""T高效电浆控制"",""source_edge_id"":17}]",scc:0235
recipe:12,12,电浆激发器,Assemble,4,120,true,false,false,2,"[{""item_node"":""item:1202"",""item_id"":1202,""item_name"":""磁线圈"",""quantity"":4,""source_edge_id"":1780},{""item_node"":""item:1111"",""item_id"":1111,""item_name"":""棱镜"",""quantity"":2,""source_edge_id"":1781}]",1,"[{""item_node"":""item:1401"",""item_id"":1401,""item_name"":""电浆激发器"",""quantity"":1,""source_edge_id"":1782}]","[{""tech_node"":""tech:1101"",""tech_id"":1101,""tech_name"":""T高效电浆控制"",""source_edge_id"":18}]",scc:0245
recipe:13,13,无线输电塔,Assemble,4,180,true,false,false,2,"[{""item_node"":""item:2201"",""item_id"":2201,""item_name"":""电力感应塔"",""quantity"":1,""source_edge_id"":1783},{""item_node"":""item:1401"",""item_id"":1401,""item_name"":""电浆激发器"",""quantity"":3,""source_edge_id"":1784}]",1,"[{""item_node"":""item:2202"",""item_id"":2202,""item_name"":""无线输电塔"",""quantity"":1,""source_edge_id"":1785}]","[{""tech_node"":""tech:1101"",""tech_id"":1101,""tech_name"":""T高效电浆控制"",""source_edge_id"":19}]",scc:0255
