profile,component_id,cyclic,component_member_count,topological_rank,node_id,node_type,game_id,display_name
all_exact_formal_game_data,scc:0001,false,1,0,capability:automated_interplanetary_logistics,capability,,Automated interplanetary logistics
all_exact_formal_game_data,scc:0002,false,1,1,capability:automated_planetary_logistics,capability,,Automated planetary logistics
all_exact_formal_game_data,scc:0003,false,1,2,capability:efficient_bulk_silicon_access,capability,,Efficient bulk silicon access
all_exact_formal_game_data,scc:0004,false,1,3,capability:manual_interplanetary_travel,capability,,Manual interplanetary travel
all_exact_formal_game_data,scc:0005,false,1,4,capability:mecha_warp,capability,,Mecha warp
all_exact_formal_game_data,scc:0006,false,1,5,capability:sustained_titanium_access,capability,,Sustained titanium access
all_exact_formal_game_data,scc:0007,false,1,6,capability:vessel_warp,capability,,Logistics vessel warp
all_exact_formal_game_data,scc:0008,false,1,446,function:1,unlock_function,1,UnlockFunction 1
all_exact_formal_game_data,scc:0009,false,1,459,function:10,unlock_function,10,UnlockFunction 10
all_exact_formal_game_data,scc:0010,false,1,477,function:11,unlock_function,11,UnlockFunction 11
all_exact_formal_game_data,scc:0011,false,1,495,function:12,unlock_function,12,UnlockFunction 12
all_exact_formal_game_data,scc:0012,false,1,504,function:13,unlock_function,13,UnlockFunction 13
all_exact_formal_game_data,scc:0013,false,1,510,function:14,unlock_function,14,UnlockFunction 14
all_exact_formal_game_data,scc:0014,false,1,554,function:15,unlock_function,15,UnlockFunction 15
all_exact_formal_game_data,scc:0015,false,1,555,function:16,unlock_function,16,UnlockFunction 16
all_exact_formal_game_data,scc:0016,false,1,550,function:17,unlock_function,17,UnlockFunction 17
all_exact_formal_game_data,scc:0017,false,1,568,function:18,unlock_function,18,UnlockFunction 18
all_exact_formal_game_data,scc:0018,false,1,569,function:19,unlock_function,19,UnlockFunction 19
all_exact_formal_game_data,scc:0019,false,1,453,function:2,unlock_function,2,UnlockFunction 2
all_exact_formal_game_data,scc:0020,false,1,527,function:20,unlock_function,20,UnlockFunction 20
all_exact_formal_game_data,scc:0021,false,1,528,function:21,unlock_function,21,UnlockFunction 21
all_exact_formal_game_data,scc:0022,false,1,587,function:22,unlock_function,22,UnlockFunction 22
all_exact_formal_game_data,scc:0023,false,1,596,function:23,unlock_function,23,UnlockFunction 23
all_exact_formal_game_data,scc:0024,false,1,577,function:24,unlock_function,24,UnlockFunction 24
all_exact_formal_game_data,scc:0025,false,1,578,function:25,unlock_function,25,UnlockFunction 25
all_exact_formal_game_data,scc:0026,false,1,312,function:26,unlock_function,26,UnlockFunction 26
all_exact_formal_game_data,scc:0027,false,1,482,function:27,unlock_function,27,UnlockFunction 27
all_exact_formal_game_data,scc:0028,false,1,463,function:28,unlock_function,28,UnlockFunction 28
all_exact_formal_game_data,scc:0029,false,1,582,function:29,unlock_function,29,UnlockFunction 29
all_exact_formal_game_data,scc:0030,false,1,428,function:3,unlock_function,3,UnlockFunction 3
all_exact_formal_game_data,scc:0031,false,1,570,function:30,unlock_function,30,UnlockFunction 30
all_exact_formal_game_data,scc:0032,false,1,571,function:31,unlock_function,31,UnlockFunction 31
